M,gamma,Q,theta_index,xi,theta_deg,root_index,t,beta_deg,u,u_cj,R,D,D_minus_R2,cubic_rel_residual,geometry_ok,cj_ok,high_compression_ok,accepted
5.0,1.2,2.0,4,0.2,14.4601822475696,2,23.22589056066137,87.53462997079953,24.953741566431674,3.1491173721063537,23.17720677880095,537.1829140672968,0.0,4.0352205150552713e-17,True,True,True,True
5.0,1.2,2.0,5,0.25,16.54675456574514,0,-0.08614811823926871,-4.923767024845423,0.18417063485507798,3.1491173721063537,-0.6288565988461425,0.39546062191198544,-3.527733660746435e-13,5.997643804531722e-14,False,False,False,False
5.0,1.2,2.0,5,0.25,16.54675456574514,1,0.5079392093788222,26.9278008885098,5.1272214017946975,3.1491173721063537,3.084482416354284,9.514031776799968,1.20614629395277e-12,9.916221915295534e-15,True,True,True,True
5.0,1.2,2.0,5,0.25,16.54675456574514,2,20.06602197372205,87.14699718063743,24.938064424757822,3.1491173721063537,23.161500395718708,536.4551005808779,0.0,8.445150889325542e-17,True,True,True,True
5.0,1.2,2.0,6,0.30000000000000004,18.63332688392068,0,-0.0801488322369055,-4.582394389950563,0.15957082601704559,3.1491173721063537,-0.6872292084812583,0.47228398499000424,2.2737367544323206e-13,3.6465813950626866e-14,False,False,False,False
5.0,1.2,2.0,6,0.30000000000000004,18.63332688392068,1,0.5489767242929675,28.765761334887266,5.789556066384836,3.1491173721063537,3.801118048111671,14.448498415679362,-9.166001291305292e-13,5.993320439845719e-15,True,True,True,True
5.0,1.2,2.0,6,0.30000000000000004,18.63332688392068,2,17.58345567396365,86.74500121040991,24.91940109557486,3.1491173721063537,23.142802203510513,535.5892938308112,2.2737367544323206e-13,4.504785147318099e-17,True,True,True,True
5.0,1.2,2.0,7,0.35000000000000003,20.71989920209622,0,-0.07457200535155639,-4.264767431186388,0.13825576147879,3.1491173721063537,-0.7347298930825417,0.5398280157889412,-1.41886502547095e-13,2.1719271886378704e-14,False,False,False,False
5.0,1.2,2.0,7,0.35000000000000003,20.71989920209622,1,0.593873232241175,30.704942588852333,6.518245332729486,3.1491173721063537,4.570660608437269,20.89093839752084,6.963318810448982e-13,3.281233092237387e-15,True,True,True,True
5.0,1.2,2.0,7,0.35000000000000003,20.71989920209622,2,15.572457490379245,86.32574259927706,24.89733119938999,3.1491173721063537,23.120691008147503,534.5663526942328,0.0,1.2780950486176496e-16,True,True,True,True
5.0,1.2,2.0,8,0.4,22.806471520271757,0,-0.06942302839294623,-3.9712747786618823,0.11991100387851453,3.1491173721063537,-0.773748776244086,0.5986871687389695,-2.511324481702104e-13,3.716196038045547e-14,False,False,False,False
5.0,1.2,2.0,8,0.4,22.806471520271757,1,0.642793739109333,32.732655720130424,7.30944894886289,3.1491173721063537,5.393386775793816,29.08862091330812,5.009326287108706e-13,1.8143289639726907e-15,True,True,True,True
5.0,1.2,2.0,8,0.4,22.806471520271757,2,13.902349563621128,85.88578395281507,24.871316647097135,3.1491173721063537,23.094627673629372,533.3618273835677,1.1368683772161603e-13,3.921116455306652e-17,True,True,True,True
5.0,1.2,2.0,9,0.45,24.893043838447294,0,-0.06468266746246876,-3.7008882817476128,0.10416039554413006,3.1491173721063537,-0.8060769298150012,0.6497600167802589,2.8044233602031454e-13,4.013471293993827e-14,False,False,False,False
5.0,1.2,2.0,9,0.45,24.893043838447294,1,0.6960808219876062,34.84103627069153,8.159636329546844,3.1491173721063537,6.268406955096273,39.2929257546983,-1.0231815394945443e-12,3.5076402667555515e-15,True,True,True,True
5.0,1.2,2.0,9,0.45,24.893043838447294,2,12.485997013610096,85.4209709112959,24.84066296588477,3.1491173721063537,23.06391636957924,531.9442383029453,1.1368683772161603e-13,6.956926699266521e-17,True,True,True,True
5.0,1.2,2.0,10,0.5,26.979616156622836,0,-0.06032066018356019,-3.4519365824048545,0.09063476908108421,3.1491173721063537,-0.8330751037884787,0.6940141285519561,-2.284838984678572e-13,3.194949768203159e-14,False,False,False,False
5.0,1.2,2.0,10,0.5,26.979616156622836,1,0.7542641293594845,37.025940507497296,9.065414678410654,3.1491173721063537,7.1940928828022015,51.75497240638642,1.1297629498585593e-12,2.990020071296958e-15,True,True,True,True
5.0,1.2,2.0,10,0.5,26.979616156622836,2,11.262895480084632,84.92617767452435,24.804462654348818,3.1491173721063537,23.027647810894102,530.2725637025759,0.0,5.4965267286698104e-17,True,True,True,True
5.0,1.2,2.0,11,0.55,29.066188474798377,0,-0.05630289016204415,-3.222515712875075,0.07899995493802005,3.1491173721063537,-0.8557888071414363,0.7323744824284064,-1.56097357262297e-13,2.1372715358910067e-14,False,False,False,False
5.0,1.2,2.0,11,0.55,29.066188474798377,1,0.8180975346366837,39.28651406943686,10.023515263217986,3.1491173721063537,8.168394700682706,66.72267198614158,2.7000623958883807e-13,4.029020943079951e-16,True,True,True,True
5.0,1.2,2.0,11,0.55,29.066188474798377,2,10.18951084896698,84.39493335155835,24.7615098479727,3.1491173721063537,22.9846137480042,528.2924691449437,0.0,4.951143098485801e-17,True,True,True,True
5.0,1.2,2.0,12,0.6000000000000001,31.152760792973915,0,-0.05259512927812704,-3.010704857082266,0.06896541517871109,3.1491173721063537,-0.8750292123910934,0.7656761225379067,1.2945200467129325e-13,1.7264150779127896e-14,False,False,False,False
5.0,1.2,2.0,12,0.6000000000000001,31.152760792973915,1,0.8886299124654324,41.62524931373889,11.030890561434534,3.1491173721063537,9.189130860172382,84.44012596537243,1.4210854715202004e-14,5.98067187266144e-17,True,True,True,True
5.0,1.2,2.0,12,0.6000000000000001,31.152760792973915,2,9.23345200886135,83.81885237537261,24.710167227017575,3.1491173721063537,22.93317359925382,525.9304513335125,0.0,4.449994017610747e-17,True,True,True,True
5.0,1.2,2.0,13,0.65,33.23933311114945,0,-0.04916490691069475,-2.8146752596300666,0.060283984061254396,3.1491173721063537,-0.891431254026561,0.7946496806552825,-8.459899447643693e-14,1.1265494136699342e-14,False,False,False,False
5.0,1.2,2.0,13,0.65,33.23933311114945,1,0.9673276089464475,44.04854787275205,12.08492700898395,3.1491173721063537,10.254318464984648,105.1510471813254,2.984279490192421e-13,3.9182850458554576e-16,True,True,True,True
5.0,1.2,2.0,13,0.65,33.23933311114945,2,8.36975953067532,83.18672660577748,24.648149351588206,3.1491173721063537,22.871037333405443,523.0843487060256,0.0,3.124734846434933e-17,True,True,True,True
5.0,1.2,2.0,14,0.7000000000000001,35.32590542932499,0,-0.04598234963555159,-2.632740076704239,0.05274788306693145,3.1491173721063537,-0.905496002864095,0.8199230112026803,-1.7286172493413687e-13,2.255791533379586e-14,False,False,False,False
5.0,1.2,2.0,14,0.7000000000000001,35.32590542932499,1,1.0562882106361888,46.5680057462954,13.18383002056881,3.1491173721063537,11.362633054884142,129.10942993994618,4.547473508864641e-13,5.024366313700141e-16,True,True,True,True
5.0,1.2,2.0,14,0.7000000000000001,35.32590542932499,2,7.578374496979841,82.48299659130119,24.5721504881429,3.1491173721063537,22.794892510963486,519.6071245863793,1.1368683772161603e-13,1.7242473993631545e-17,True,True,True,True
5.0,1.2,2.0,15,0.75,37.412477747500525,0,-0.043020459048225046,-2.463371782245566,0.04618352280610142,3.1491173721063537,-0.9176219476003118,0.8420300387176302,-1.5920598173124745e-13,2.0538105500505966e-14,False,False,False,False
5.0,1.2,2.0,15,0.75,37.412477747500525,1,1.1586336002112234,49.20299529737046,14.327330771605434,3.1491173721063537,12.514165055278735,156.6043270307598,3.979039320256561e-13,4.3094105066824503e-16,True,True,True,True
