gamma,Q,M,M_over_Mcj,c2,n_sonic,n_sonic_high,theta_cj_deg,theta_max_deg,beta_max_deg,theta_s_deg,beta_s_deg,u_s,R_s,order_ok,weak_ok
1.2,10.0,24.29805779066405,8.0,-1401.7494697562795,1,1,2.895664720378127,55.620054769943465,72.89559609740704,55.62004321226597,72.88061867045556,539.2378666410829,534.5517655609319,True,True
1.2,10.0,45.55885835749509,15.0,-4966.262979611921,1,1,1.5469917224817622,56.20740090876428,73.12749759344345,56.20739999060332,73.1233077301525,1900.673871176316,1896.0017251507743,True,True
1.2,20.0,4.0771386655394535,1.0005,-11.895343275288417,1,1,1.3487168665201688,1.3510348010043984,88.19163200113913,1.3510273548334948,88.19129053345213,16.60649974674482,0.028949258288719193,True,True
1.2,20.0,4.079176216096944,1.001,-11.93522864473037,1,1,1.903941656063377,1.910484290715721,87.44748409363686,1.910463361074784,87.44652471327049,16.606651121910286,0.05781683439441565,True,True
1.2,20.0,4.115852126131783,1.01,-12.656572938040446,1,1,5.832048878445578,6.031558149246845,82.19503790718537,6.030965927968212,82.16806309323911,16.62567690756913,0.5643735542398005,True,True
1.2,20.0,4.278856170731061,1.05,-15.940664311527865,1,1,11.44831402155453,13.371734112848753,74.70574052147424,13.36757478588344,74.51686481412,17.003850246636006,2.5948832535247632,True,True
1.2,20.0,4.482611226480159,1.1,-20.225128178638304,1,1,14.039625706378622,18.66972827550269,71.13445186194257,18.662773096908346,70.80851514544892,17.92244741349741,4.8483671888540485,True,True
1.2,20.0,4.890121337978355,1.2,-29.39188808036293,1,1,15.629851947508426,25.63880149734872,68.51720502636263,25.630900414838894,68.1025139480172,20.587199169602815,9.039512347955938,True,True
1.2,20.0,6.1126516724729445,1.5,-61.6748251255671,1,1,14.681923255335294,36.87161528977207,67.93350808999355,36.86759485882937,67.61600534822442,31.94598948148637,22.11590120086597,True,True
1.2,20.0,8.150202229963925,2.0,-131.42191133434147,1,1,11.699847014193526,45.16573562555318,69.45092887830333,45.16455450821483,69.28386780631311,58.11388842537106,49.08827987235808,True,True
1.2,20.0,12.225303344945889,3.0,-330.6993005022684,1,1,8.022268557320388,51.25922891659458,71.29061206609012,51.25902435778743,71.2244691239477,133.97497337327536,125.3689645306282,True,True
1.2,20.0,20.375505574909813,5.0,-968.3869458396339,1,1,4.867781877372938,54.531514826660256,72.47534691919057,54.531490640837376,72.45339684533855,377.42678575731435,369.00072110743787,True,True
1.2,20.0,32.6008089198557,8.0,-2522.750581349463,1,1,3.0529152727846025,55.68903549312377,72.92270699700009,55.6890319322265,72.91440196207576,971.0723629465317,962.7034822291431,True,True
1.2,20.0,61.12651672472944,15.0,-8939.482512556708,1,1,1.630710208258935,56.227331607338726,73.1354304178096,56.227331324142824,73.13310417803332,3421.8918322709205,3413.548473542535,True,True
1.2,50.0,6.219279518098514,1.0005,-26.43065053817525,1,1,1.4370501574237564,1.439486510322206,88.19159061736622,1.4394849666296872,88.19143857225222,38.640911435839634,0.06924165367025381,True,True
1.2,50.0,6.222387603814704,1.001,-26.52345798105656,1,1,2.028490031286999,2.0353660386517785,87.44736861514153,2.0353617009068903,87.44694144974967,38.64128242432766,0.1382762548337837,True,True
1.2,50.0,6.278333146706146,1.01,-28.20192104246984,1,1,6.205728412333341,6.414942806643149,82.1921862664877,6.41482069211122,82.18018576180562,38.68777762625675,1.3478635354137367,True,True
1.2,50.0,6.526980004001439,1.05,-35.84352313432312,1,1,12.12724645089866,14.128161920476936,74.6973801852345,14.127321575612704,74.61378198052974,39.60245524482797,6.169240251866867,True,True
1.2,50.0,6.837788575620555,1.1,-45.81284625172877,1,1,14.813997658924793,19.596058147640843,71.1434252945394,19.594681246955354,71.00016954271165,41.79962180124807,11.487225067255366,True,True
1.2,50.0,7.459405718858787,1.2,-67.14256082850362,1,1,16.411167968233045,26.652671980605845,68.5848050445867,26.65115065596776,68.40461113271681,48.10533564235261,21.33190894159339,True,True
1.2,50.0,9.324257148573484,1.5,-142.2602512945369,1,1,15.319069411439719,37.743343568686804,68.10233087303622,37.7425953290094,67.96648183240754,74.70587140237744,51.897400651959046,True,True
1.2,50.0,12.432342864764646,2.0,-304.55155785695456,1,1,12.166502375107557,45.755410134968756,69.62148196893453,45.75519286970259,69.55030093760229,135.6956523110646,114.74934204646888,True,True
